Names,Category,Time_Open,Link,Rating
Բալատուն,"Քաղցրավենիք, Հացաբուլկեղեն",11:00 - 22:00,https://www.menu.am/restaurant/balatoon-cherry-house.html,3.5
Ֆիոնա Ֆլորա,Ծաղիկներ և Փուչիկներ,07:30 - 00:00,https://www.menu.am/restaurant/fiona-flora.html,5
Լակի Դեսերտ,Քաղցրավենիք,10:00 - 19:00,https://www.menu.am/restaurant/laki-dessert-art-studio.html,5
Փափայա,Քաղցրավենիք,10:00 - 20:00,https://www.menu.am/restaurant/papaya.html,0.8
Սիննաբոն,"Քաղցրավենիք, Բուրգեր և Սենդվիչ, Սուրճ և Թեյ",11:00 - 23:30,https://www.menu.am/restaurant/cinnabon.html,4.4
Մեղրատուն,"Քաղցրավենիք, Գաստրոնոմ",09:30 - 22:00,https://www.menu.am/restaurant/honey-house.html,0
Սորրիզո,Իտալական,11:00 - 22:00,https://www.menu.am/restaurant/sorriso.html,2.2
Աբու Հակոբ ռեստորան,Արևելյան,12:00 - 22:30,https://www.menu.am/restaurant/abu-hagop-restaurant.html,3.5
Ժակո Նարգիլե,Նարգիլե և Սիգար,11:15 - 23:30,https://www.menu.am/restaurant/jaco-hookah.html,5
Լահմաջո,Արևելյան,10:00 - 19:00,https://www.menu.am/restaurant/lahmajun.html,4.4
Լայֆ Սրճարան,Եվրոպական,10:00 - 22:00,https://www.menu.am/restaurant/life-cafe.html,3
Կրեպ,Քաղցրավենիք,12:00 - 21:45,https://www.menu.am/restaurant/crepe.html,2.7
Երևանի Խաչապուրի հացատուն,"Արցախյան, Հայկական",09:00 - 21:00,https://www.menu.am/restaurant/yerevani-khachapuri-hatsatun.html,2.9
Գուստո,Իտալական,10:00 - 22:00,https://www.menu.am/restaurant/gusto.html,3.8
Հակեր-Փշոր Գրիլ Հաուս,Եվրոպական,11:00 - 23:00,https://www.menu.am/restaurant/hacker-pschorr-grill-house.html,1.8
Հալդի.Կո Սուրճ կամ Թեյ,Սուրճ և Թեյ,10:00 - 23:00,https://www.menu.am/restaurant/haldico-coffee-or-tea.html,0
Ավենյու դե Ֆլյող,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/avenu-des-fleurs.html,2
Ռոսսի,Քաղցրավենիք,10:00 - 16:00,https://www.menu.am/restaurant/rossi-dessert-komitas.html,3
ՋԻՋԻՍ Պիցցա,Եվրոպական,11:00 - 20:00,https://www.menu.am/restaurant/ggs-pizza.html,4.6
Քարավանսարա,Արևելյան,11:00 - 22:00,https://www.menu.am/restaurant/qaravansara.html,3.8
Սանտա Ֆամիլիա,"Գաստրոնոմ, Թարմ միս և մսամթերք, Կիսաֆաբրիկատներ",09:00 - 22:00,https://www.menu.am/restaurant/santa-familia.html,0
Ծղոտներ,"Եվրոպական, Հայկական",24 ժամ,https://www.menu.am/restaurant/tsghotner.html,4.3
Անջելո Հաց,"Քաղցրավենիք, Կիսաֆաբրիկատներ",09:00 - 23:00,https://www.menu.am/restaurant/angelo.html,0
Ֆիլոմենա ,Ծաղիկներ և Փուչիկներ,10:30 - 00:00,https://www.menu.am/restaurant/filomena-flowers.html,5
